date,time,injury,age,sex
2/4/12,13:40,INJURED,27,M
2/4/12,17:45,INJURED,45,M
2/4/12,11:05,INJURED,49,M
2/4/12,08:25,INJURED,59,F
2/4/12,12:30,INJURED,78,M
2/4/12,08:50,INJURED,0,F
2/5/12,17:10,INJURED,20,M
2/5/12,14:55,INJURED,36,F
2/5/12,18:15,INJURED,40,M
2/5/12,22:40,INJURED,61,F
2/5/12,13:00,NONE,69,F
2/5/12,02:45,INJURED,0,M
2/6/12,12:15,INJURED,26,F
2/6/12,17:25,NONE,42,F
2/6/12,10:20,INJURED,65,M
2/6/12,11:30,INJURED,89,M
2/6/12,17:40,INJURED,0,M
2/7/12,18:00,INJURED,63,F
2/7/12,07:30,INJURED,0,M
2/8/12,07:45,INJURED,21,M
2/8/12,19:30,INJURED,22,M
2/8/12,18:25,INJURED,23,F
2/8/12,09:50,INJURED,26,M
2/8/12,20:25,INJURED,31,F
2/8/12,17:25,INJURED,32,M
2/8/12,18:55,INJURED,76,M
2/8/12,07:45,NONE,0,F
2/8/12,09:50,INJURED,0,F
2/9/12,16:55,INJURED,22,M
2/9/12,18:40,INJURED,25,F
2/9/12,19:35,INJURED,35,M
2/9/12,11:35,INJURED,35,M
2/9/12,17:00,INJURED,36,M
2/9/12,20:00,INJURED,37,M
2/9/12,20:15,INJURED,43,M
2/9/12,10:40,INJURED,46,M
2/9/12,23:30,INJURED,47,M
2/9/12,15:25,INJURED,48,M
2/9/12,06:35,INJURED,55,F
2/9/12,16:05,INJURED,55,M
2/9/12,14:15,INJURED,63,M
2/9/12,18:00,INJURED,0,F
2/9/12,18:00,INJURED,0,F
2/9/12,08:00,INJURED,0,M
2/9/12,09:00,INJURED,0,F
2/9/12,15:00,INJURED,0,F
2/10/12,15:45,INJURED,20,M
2/10/12,08:45,INJURED,21,F
2/10/12,13:00,INJURED,21,F
2/10/12,13:20,INJURED,29,F
2/10/12,20:25,INJURED,29,M
2/10/12,07:15,INJURED,37,F
2/10/12,20:35,INJURED,42,M
2/10/12,07:35,INJURED,69,M
2/10/12,12:05,INJURED,70,M
2/10/12,15:50,NONE,0,M
2/10/12,18:30,INJURED,0,M
2/10/12,13:50,INJURED,0,F
2/10/12,15:55,INJURED,0,M
2/11/12,23:25,INJURED,28,M
2/11/12,20:00,INJURED,30,M
2/11/12,13:10,INJURED,41,F
2/11/12,23:00,INJURED,53,M
2/11/12,10:25,INJURED,54,F
2/11/12,04:10,INJURED,0,M
2/11/12,16:55,INJURED,0,M
2/12/12,15:35,INJURED,30,M
2/12/12,07:55,NONE,39,M
2/12/12,06:45,INJURED,61,M
2/12/12,00:05,INJURED,66,F
2/12/12,18:10,INJURED,72,F
2/12/12,09:05,INJURED,73,M
2/13/12,07:50,INJURED,22,M
2/13/12,09:05,INJURED,22,M
2/13/12,13:10,INJURED,25,M
2/13/12,03:50,INJURED,30,F
2/13/12,16:05,INJURED,33,M
2/13/12,15:00,INJURED,36,M
2/13/12,15:00,NONE,37,M
2/13/12,07:55,NONE,43,M
2/13/12,12:55,INJURED,55,F
2/13/12,16:00,NONE,57,F
2/13/12,21:10,INJURED,74,F
2/13/12,15:00,INJURED,74,F
2/13/12,08:00,INJURED,0,M
2/13/12,16:20,INJURED,0,F
2/13/12,17:30,INJURED,0,M
2/13/12,18:00,INJURED,0,F
2/13/12,07:55,INJURED,0,M
2/14/12,17:35,INJURED,22,F
2/14/12,08:25,INJURED,23,M
2/14/12,18:25,INJURED,24,F
2/14/12,07:35,INJURED,26,F
2/14/12,16:56,INJURED,27,F
2/14/12,15:30,INJURED,31,F
2/14/12,08:20,INJURED,40,F
2/14/12,16:15,INJURED,48,F
2/14/12,07:25,INJURED,0,F
2/14/12,17:10,INJURED,0,M
2/14/12,13:50,INJURED,0,M
2/14/12,17:30,INJURED,0,M
2/15/12,07:50,INJURED,23,F
2/15/12,18:00,INJURED,24,M
2/15/12,11:00,INJURED,24,F
2/15/12,19:15,INJURED,39,M
2/15/12,07:20,INJURED,51,M
2/15/12,08:05,INJURED,56,F
2/15/12,17:55,INJURED,68,F
2/16/12,15:00,INJURED,28,F
2/16/12,18:10,INJURED,39,F
2/16/12,07:38,INJURED,47,F
2/16/12,18:15,INJURED,48,F
2/16/12,07:30,INJURED,0,M
2/16/12,14:15,INJURED,0,M
2/16/12,15:15,INJURED,0,M
2/16/12,18:50,INJURED,0,M
2/17/12,18:30,INJURED,22,M
2/17/12,20:10,INJURED,26,M
2/17/12,08:35,INJURED,34,M
2/17/12,09:20,INJURED,47,F
2/17/12,01:50,INJURED,49,M
2/17/12,21:45,INJURED,50,M
2/17/12,18:50,NONE,51,M
2/17/12,19:20,INJURED,58,M
2/17/12,10:55,INJURED,61,M
2/17/12,17:30,NONE,65,F
2/17/12,19:00,INJURED,0,M
2/18/12,15:30,INJURED,23,F
2/18/12,17:25,INJURED,24,M
2/18/12,12:00,INJURED,26,F
2/18/12,12:25,INJURED,29,F
2/18/12,19:10,INJURED,56,M
2/18/12,09:30,INJURED,66,M
2/19/12,15:45,INJURED,23,M
2/19/12,15:05,INJURED,23,M
2/19/12,16:15,INJURED,32,F
2/19/12,02:05,INJURED,36,F
2/19/12,14:30,INJURED,48,M
2/20/12,19:00,INJURED,20,M
2/20/12,19:00,INJURED,24,F
2/20/12,11:30,NONE,27,F
2/20/12,04:15,INJURED,30,F
2/20/12,16:15,INJURED,41,M
2/20/12,15:55,INJURED,45,M
2/20/12,08:35,INJURED,47,F
2/20/12,10:20,INJURED,48,M
2/20/12,16:20,INJURED,59,M
2/20/12,16:35,INJURED,0,M
2/21/12,08:00,INJURED,25,M
2/21/12,17:50,INJURED,26,F
2/21/12,16:15,INJURED,27,M
2/21/12,22:05,INJURED,28,M
2/21/12,22:30,INJURED,34,M
2/21/12,18:10,INJURED,36,F
2/21/12,15:50,INJURED,42,F
2/21/12,17:00,INJURED,42,M
2/21/12,09:00,INJURED,51,M
2/21/12,15:00,INJURED,54,F
2/21/12,16:10,INJURED,55,M
2/21/12,19:10,INJURED,0,M
2/21/12,17:05,INJURED,0,F
2/21/12,18:25,INJURED,0,F
2/21/12,17:30,INJURED,0,M
2/22/12,10:00,INJURED,21,M
2/22/12,10:20,INJURED,22,M
2/22/12,18:45,INJURED,25,F
2/22/12,14:15,INJURED,28,F
2/22/12,17:40,INJURED,33,F
2/22/12,10:45,INJURED,38,F
2/22/12,19:00,INJURED,46,M
2/22/12,18:45,INJURED,48,F
2/22/12,10:10,INJURED,55,F
2/22/12,13:10,INJURED,72,M
2/22/12,17:10,INJURED,0,M
2/22/12,07:40,INJURED,0,M
2/23/12,19:40,INJURED,20,F
2/23/12,18:30,INJURED,21,M
2/23/12,13:30,INJURED,26,F
2/23/12,17:15,INJURED,26,M
2/23/12,16:45,INJURED,30,M
2/23/12,15:45,INJURED,40,M
2/23/12,06:50,INJURED,47,M
2/23/12,10:45,INJURED,58,M
2/23/12,17:15,INJURED,67,F
2/23/12,08:30,INJURED,69,F
2/23/12,21:50,INJURED,84,M
2/23/12,18:20,INJURED,0,M
2/23/12,16:25,INJURED,0,M
2/24/12,12:00,NONE,21,F
2/24/12,19:00,INJURED,21,M
2/24/12,13:55,INJURED,22,F
2/24/12,12:10,INJURED,24,M
2/24/12,12:35,NONE,25,F
2/24/12,08:55,INJURED,28,F
2/24/12,13:00,INJURED,29,M
2/24/12,19:00,NONE,33,F
2/24/12,08:00,INJURED,35,F
2/24/12,16:40,INJURED,37,M
2/24/12,23:10,INJURED,41,M
2/24/12,07:20,INJURED,45,F
2/24/12,19:20,INJURED,52,F
2/24/12,10:45,INJURED,74,F
2/24/12,09:00,INJURED,77,F
2/24/12,00:01,INJURED,0,F
2/24/12,13:25,INJURED,0,M
2/25/12,23:00,INJURED,21,F
2/25/12,09:30,INJURED,23,M
2/25/12,04:45,INJURED,25,M
2/25/12,12:30,INJURED,30,F
2/25/12,09:20,INJURED,45,F
2/25/12,11:00,INJURED,69,M
2/25/12,17:45,INJURED,74,F
2/25/12,11:30,INJURED,81,F
2/25/12,17:25,INJURED,92,M
2/25/12,03:30,INJURED,0,X
2/25/12,15:00,INJURED,0,M
2/26/12,10:50,INJURED,24,F
2/26/12,11:40,INJURED,24,M
2/26/12,17:30,INJURED,45,M
2/26/12,17:05,INJURED,47,M
2/26/12,23:25,INJURED,62,M
2/27/12,19:20,INJURED,20,M
2/27/12,11:25,INJURED,21,F
2/27/12,11:30,INJURED,32,F
2/27/12,11:50,INJURED,33,M
2/27/12,16:40,INJURED,36,M
2/27/12,15:30,INJURED,49,M
2/27/12,08:50,INJURED,53,M
2/27/12,09:45,INJURED,56,M
2/27/12,08:50,INJURED,59,F
2/27/12,19:20,INJURED,0,M
2/28/12,11:00,INJURED,20,M
2/28/12,12:10,INJURED,22,M
2/28/12,07:45,INJURED,25,M
2/28/12,11:50,INJURED,31,M
2/28/12,17:20,INJURED,36,F
2/28/12,07:25,INJURED,39,M
2/28/12,15:20,INJURED,39,M
2/28/12,14:55,INJURED,50,M
2/28/12,19:45,INJURED,50,M
2/28/12,17:50,INJURED,69,M
2/29/12,15:20,INJURED,20,M
2/29/12,19:07,INJURED,23,M
2/29/12,16:50,NONE,28,M
2/29/12,20:05,INJURED,31,M
2/29/12,18:55,INJURED,92,F
2/29/12,19:15,INJURED,0,F
3/1/12,23:00,INJURED,20,M
3/1/12,21:00,INJURED,22,M
3/1/12,08:40,INJURED,24,F
3/1/12,18:24,INJURED,31,M
3/1/12,11:05,INJURED,36,M
3/1/12,13:10,NONE,37,F
3/1/12,06:50,INJURED,53,M
3/1/12,13:00,INJURED,57,M
3/1/12,10:00,INJURED,73,M
3/1/12,14:25,INJURED,0,M
3/1/12,15:55,INJURED,0,M
3/1/12,15:50,INJURED,0,M
3/2/12,16:55,INJURED,20,M
3/2/12,02:00,INJURED,25,M
3/2/12,10:45,INJURED,29,F
3/2/12,12:50,INJURED,32,F
3/2/12,17:55,INJURED,35,M
3/2/12,10:15,INJURED,35,M
3/2/12,18:45,INJURED,38,M
3/2/12,09:00,INJURED,42,F
3/2/12,05:10,INJURED,46,M
3/2/12,19:05,NONE,48,M
3/2/12,04:55,INJURED,50,F
3/2/12,19:50,INJURED,51,M
3/2/12,18:45,INJURED,52,M
3/2/12,15:45,INJURED,57,M
3/2/12,01:00,INJURED,0,F
3/3/12,00:01,INJURED,21,M
3/3/12,22:15,INJURED,49,M
3/3/12,14:20,INJURED,57,M
3/3/12,19:10,INJURED,77,F
3/3/12,18:25,INJURED,0,M
3/4/12,12:40,INJURED,20,M
3/4/12,18:00,INJURED,22,M
3/4/12,18:00,INJURED,29,M
3/4/12,21:00,INJURED,36,F
3/4/12,18:00,INJURED,36,F
3/4/12,22:25,INJURED,46,M
3/4/12,02:15,INJURED,50,F
3/4/12,08:50,INJURED,61,M
3/4/12,19:50,INJURED,62,F
3/4/12,03:15,INJURED,0,X
3/4/12,10:50,INJURED,0,F
3/5/12,16:45,INJURED,22,F
3/5/12,10:00,INJURED,24,M
3/5/12,23:00,NONE,35,F
3/5/12,09:40,INJURED,35,F
3/5/12,09:20,INJURED,36,F
3/5/12,14:05,INJURED,52,M
3/5/12,12:45,INJURED,54,M
3/5/12,22:00,INJURED,55,F
3/5/12,17:20,INJURED,70,F
3/5/12,08:20,NONE,0,M
3/5/12,16:45,INJURED,0,M
3/5/12,10:40,INJURED,0,M
3/5/12,15:43,INJURED,0,M
3/5/12,18:55,INJURED,0,M
3/5/12,19:50,INJURED,0,M
3/6/12,18:50,INJURED,20,M
3/6/12,08:00,INJURED,23,M
3/6/12,08:25,INJURED,43,M
3/6/12,12:50,INJURED,51,M
3/6/12,18:50,INJURED,55,M
3/6/12,14:45,INJURED,60,M
3/6/12,16:40,INJURED,73,M
3/6/12,13:30,INJURED,96,M
3/6/12,18:50,INJURED,0,M
3/6/12,15:30,INJURED,0,F
3/6/12,19:30,INJURED,0,M
3/6/12,07:30,INJURED,0,M
3/6/12,18:55,INJURED,0,F
3/6/12,20:00,INJURED,0,M
3/7/12,13:40,INJURED,39,M
3/7/12,13:00,INJURED,44,M
3/7/12,16:40,INJURED,50,M
3/7/12,19:45,INJURED,56,F
3/7/12,16:50,INJURED,56,F
3/7/12,16:20,INJURED,62,F
3/7/12,17:40,INJURED,96,M
3/7/12,11:50,INJURED,0,M
3/7/12,17:15,INJURED,0,F
3/7/12,19:05,INJURED,0,M
3/7/12,17:50,INJURED,0,F
3/8/12,13:25,INJURED,21,M
3/8/12,15:35,INJURED,22,F
3/8/12,21:10,INJURED,24,M
3/8/12,17:05,INJURED,28,F
3/8/12,09:40,INJURED,33,F
3/8/12,07:40,INJURED,33,F
3/8/12,18:25,INJURED,36,F
3/8/12,12:15,INJURED,53,M
3/8/12,21:40,INJURED,58,M
3/8/12,18:20,INJURED,99,M
3/8/12,07:25,INJURED,0,F
3/8/12,17:35,INJURED,0,M
3/8/12,07:25,INJURED,0,M
3/9/12,14:30,INJURED,20,M
3/9/12,10:50,INJURED,21,F
3/9/12,13:50,NONE,23,M
3/9/12,08:50,INJURED,25,F
3/9/12,19:55,INJURED,29,M
3/9/12,22:25,INJURED,50,F
3/9/12,16:20,INJURED,51,F
3/9/12,12:30,INJURED,52,F
3/9/12,18:30,INJURED,66,F
3/9/12,14:50,INJURED,70,F
3/9/12,11:20,INJURED,78,M
3/9/12,17:10,INJURED,0,F
3/9/12,18:25,INJURED,0,F
3/9/12,17:00,INJURED,0,F
3/10/12,16:25,INJURED,28,M
3/10/12,00:30,INJURED,30,M
3/10/12,17:16,INJURED,31,M
3/10/12,14:50,INJURED,43,M
3/10/12,20:15,INJURED,51,F
3/10/12,23:20,INJURED,52,M
3/10/12,14:00,INJURED,0,M
3/11/12,18:15,INJURED,20,F
3/11/12,15:55,INJURED,33,M
3/11/12,19:45,INJURED,34,M
3/11/12,19:30,INJURED,43,F
3/11/12,08:55,INJURED,73,M
3/11/12,17:40,INJURED,0,F
3/12/12,21:45,INJURED,23,M
3/12/12,10:30,INJURED,24,M
3/12/12,20:30,INJURED,27,M
3/12/12,11:15,INJURED,30,M
3/12/12,14:20,INJURED,36,M
3/12/12,11:15,NONE,42,M
3/12/12,17:35,INJURED,43,F
3/12/12,11:50,INJURED,66,M
3/12/12,07:30,INJURED,67,F
3/12/12,07:15,INJURED,0,M
3/13/12,20:15,INJURED,22,M
3/13/12,20:20,INJURED,27,M
3/13/12,10:54,INJURED,34,M
3/13/12,16:50,INJURED,36,F
3/13/12,17:10,INJURED,40,F
3/13/12,11:30,INJURED,48,M
3/13/12,15:40,INJURED,49,M
3/13/12,16:15,INJURED,50,M
3/13/12,18:10,INJURED,52,F
3/13/12,13:10,INJURED,64,F
3/13/12,18:00,NONE,0,M
3/13/12,14:30,INJURED,0,M
3/13/12,13:30,INJURED,0,F
3/13/12,15:00,INJURED,0,F
3/14/12,17:35,INJURED,21,M
3/14/12,17:20,INJURED,22,F
3/14/12,01:15,INJURED,25,M
3/14/12,14:30,INJURED,25,M
3/14/12,19:15,INJURED,31,M
3/14/12,15:20,INJURED,41,F
3/14/12,09:50,INJURED,43,M
3/14/12,19:30,INJURED,47,F
3/14/12,19:00,INJURED,48,F
3/14/12,22:35,INJURED,48,F
3/14/12,07:45,INJURED,50,M
3/14/12,19:45,INJURED,53,F
3/14/12,19:35,INJURED,56,M
3/14/12,07:30,INJURED,57,M
3/14/12,18:40,INJURED,65,M
3/14/12,16:00,INJURED,78,F
3/14/12,07:00,INJURED,0,F
3/14/12,07:30,INJURED,0,M
3/15/12,19:40,INJURED,20,M
3/15/12,17:50,INJURED,22,F
3/15/12,19:00,INJURED,41,F
3/15/12,11:45,INJURED,41,M
3/15/12,14:30,INJURED,41,F
3/15/12,16:07,INJURED,44,M
3/15/12,19:50,INJURED,45,F
3/15/12,09:40,INJURED,47,M
3/15/12,09:20,NONE,51,M
3/15/12,15:55,INJURED,52,M
3/15/12,22:25,INJURED,57,M
3/15/12,18:30,INJURED,58,M
3/15/12,15:30,INJURED,0,M
3/15/12,18:15,INJURED,0,M
3/15/12,18:35,INJURED,0,M
3/16/12,16:15,INJURED,24,F
3/16/12,16:34,INJURED,28,F
