date,time,injury,age,PED_ROLE,sex
11/10/2020,11:30,INJURED,54,Pedestrian,M
11/10/2020,6:09,INJURED,59,Pedestrian,F
11/10/2020,5:50,INJURED,58,Pedestrian,F
11/10/2020,20:00,INJURED,22,Pedestrian,M
11/10/2020,21:30,INJURED,19,Pedestrian,F
11/10/2020,22:49,INJURED,27,Pedestrian,M
11/05/2020,16:30,INJURED,56,Pedestrian,M
11/10/2020,17:38,INJURED,73,Pedestrian,F
11/09/2020,16:45,INJURED,26,Pedestrian,M
11/08/2020,15:20,INJURED,27,Pedestrian,F
11/09/2020,9:05,INJURED,48,Pedestrian,M
11/09/2020,20:35,INJURED,30,Pedestrian,M
11/09/2020,17:05,INJURED,,Pedestrian,M
11/09/2020,17:45,INJURED,92,Pedestrian,F
11/09/2020,10:24,INJURED,35,Pedestrian,M
11/09/2020,10:18,INJURED,57,Pedestrian,M
11/09/2020,19:00,INJURED,53,Pedestrian,F
11/09/2020,17:58,INJURED,75,Pedestrian,F
11/09/2020,7:12,KILLED,34,Pedestrian,F
11/09/2020,8:15,INJURED,65,Pedestrian,F
11/08/2020,16:30,NONE,21,Pedestrian,F
11/09/2020,1:00,INJURED,60,Pedestrian,F
10/30/2020,7:20,INJURED,60,Pedestrian,M
11/08/2020,14:30,NONE,50,Pedestrian,F
11/09/2020,11:14,INJURED,36,Pedestrian,M
11/09/2020,9:14,INJURED,45,Pedestrian,M
10/19/2020,6:10,INJURED,72,Pedestrian,F
11/05/2020,14:10,INJURED,53,Pedestrian,M
11/09/2020,14:49,INJURED,57,Pedestrian,M
11/03/2020,0:00,INJURED,49,Pedestrian,F
11/06/2020,15:40,INJURED,41,Pedestrian,F
11/09/2020,11:30,INJURED,,Pedestrian,F
11/09/2020,18:24,INJURED,58,Pedestrian,F
11/09/2020,18:31,INJURED,35,Pedestrian,F
10/18/2020,0:58,INJURED,39,Pedestrian,F
11/09/2020,22:30,INJURED,69,Pedestrian,M
11/09/2020,18:31,INJURED,2,Pedestrian,M
10/27/2020,15:34,INJURED,10,Pedestrian,F
11/08/2020,2:10,INJURED,27,Pedestrian,M
11/08/2020,1:45,NONE,32,Pedestrian,M
11/08/2020,20:45,INJURED,40,Pedestrian,M
11/01/2020,18:00,INJURED,37,Pedestrian,M
10/30/2020,22:02,INJURED,35,Pedestrian,M
11/08/2020,12:58,NONE,12,Pedestrian,F
11/06/2020,9:20,INJURED,18,Pedestrian,F
11/08/2020,23:10,INJURED,53,Pedestrian,M
11/08/2020,15:15,INJURED,25,Pedestrian,M
10/31/2020,23:30,INJURED,36,Pedestrian,F
11/08/2020,18:55,INJURED,53,Pedestrian,M
10/23/2020,12:18,INJURED,68,Pedestrian,M
11/08/2020,2:06,INJURED,35,Pedestrian,F
11/05/2020,5:38,INJURED,65,Pedestrian,M
11/08/2020,13:00,INJURED,23,Pedestrian,F
11/06/2020,22:52,INJURED,29,Pedestrian,F
10/29/2020,16:01,INJURED,52,Pedestrian,F
11/08/2020,16:15,INJURED,51,Pedestrian,M
11/08/2020,10:24,INJURED,32,Pedestrian,F
11/07/2020,13:08,NONE,26,Pedestrian,F
11/06/2020,10:25,INJURED,76,Pedestrian,F
11/07/2020,20:05,NONE,31,Pedestrian,F
11/07/2020,19:54,INJURED,51,Pedestrian,F
11/07/2020,21:25,INJURED,63,Pedestrian,F
11/05/2020,12:30,INJURED,46,Pedestrian,F
11/06/2020,19:50,INJURED,21,Pedestrian,M
11/05/2020,16:03,INJURED,53,Pedestrian,M
11/07/2020,15:50,INJURED,71,Pedestrian,F
10/31/2020,14:50,INJURED,52,Pedestrian,F
10/31/2020,15:38,INJURED,68,Pedestrian,F
10/31/2020,19:25,INJURED,45,Pedestrian,F
10/29/2020,0:35,INJURED,91,Pedestrian,M
10/11/2020,17:58,INJURED,33,Pedestrian,M
10/31/2020,13:40,INJURED,57,Pedestrian,F
10/28/2020,14:00,INJURED,51,Pedestrian,F
10/30/2020,8:00,INJURED,72,Pedestrian,F
10/27/2020,13:40,INJURED,82,Pedestrian,F
10/29/2020,19:35,INJURED,55,Pedestrian,M
10/29/2020,18:00,INJURED,25,Pedestrian,F
10/30/2020,8:29,INJURED,3,Pedestrian,M
10/29/2020,17:34,INJURED,70,Pedestrian,M
10/29/2020,18:15,INJURED,35,Pedestrian,F
10/27/2020,18:17,INJURED,46,Pedestrian,M
10/25/2020,19:57,INJURED,38,Pedestrian,M
10/29/2020,13:45,INJURED,24,Pedestrian,F
10/28/2020,15:30,INJURED,70,Pedestrian,M
10/28/2020,7:09,INJURED,41,Pedestrian,F
10/29/2020,19:00,INJURED,26,Pedestrian,M
10/30/2020,17:28,INJURED,57,Pedestrian,M
10/27/2020,18:25,NONE,25,Pedestrian,F
10/28/2020,18:35,INJURED,47,Pedestrian,M
10/28/2020,18:36,INJURED,29,Pedestrian,F
10/30/2020,17:18,KILLED,8,Pedestrian,F
10/29/2020,6:47,INJURED,47,Pedestrian,M
10/30/2020,22:20,INJURED,44,Pedestrian,F
10/28/2020,1:18,INJURED,47,Pedestrian,M
10/30/2020,8:15,INJURED,24,Pedestrian,F
10/28/2020,12:48,INJURED,86,Pedestrian,M
10/30/2020,7:05,INJURED,73,Pedestrian,F
10/29/2020,18:45,INJURED,59,Pedestrian,F
10/28/2020,1:15,INJURED,21,Pedestrian,M
10/28/2020,7:17,NONE,43,Pedestrian,M
10/30/2020,23:37,INJURED,28,Pedestrian,M
10/28/2020,11:45,NONE,33,Pedestrian,M
10/30/2020,17:00,INJURED,74,Pedestrian,M
10/29/2020,11:05,INJURED,41,Pedestrian,M
10/30/2020,17:18,INJURED,71,Pedestrian,F
10/28/2020,6:48,INJURED,47,Pedestrian,F
10/30/2020,8:00,INJURED,25,Pedestrian,F
10/29/2020,13:40,INJURED,29,Pedestrian,M
10/30/2020,19:50,INJURED,65,Pedestrian,M
10/28/2020,14:30,INJURED,10,Pedestrian,M
10/29/2020,22:00,INJURED,50,Pedestrian,M
10/30/2020,17:18,INJURED,31,Pedestrian,F
10/29/2020,16:05,INJURED,52,Pedestrian,M
10/29/2020,19:55,INJURED,54,Pedestrian,F
10/28/2020,11:30,INJURED,49,Pedestrian,F
10/29/2020,17:55,INJURED,14,Pedestrian,M
10/30/2020,6:20,INJURED,53,Pedestrian,F
10/30/2020,17:18,KILLED,65,Pedestrian,F
10/28/2020,17:45,INJURED,81,Pedestrian,F
10/29/2020,19:30,INJURED,22,Pedestrian,M
10/29/2020,19:32,NONE,51,Pedestrian,M
10/30/2020,8:29,INJURED,28,Pedestrian,M
10/28/2020,9:10,INJURED,33,Pedestrian,M
10/29/2020,19:05,INJURED,56,Pedestrian,F
10/29/2020,15:00,INJURED,79,Pedestrian,M
10/28/2020,10:45,INJURED,22,Pedestrian,F
10/30/2020,19:44,NONE,,Pedestrian,F
10/29/2020,20:00,INJURED,31,Pedestrian,M
10/29/2020,13:25,INJURED,21,Pedestrian,F
10/28/2020,18:54,INJURED,43,Pedestrian,F
10/29/2020,14:00,INJURED,20,Pedestrian,M
10/29/2020,18:42,INJURED,40,Pedestrian,M
10/30/2020,17:18,INJURED,16,Pedestrian,M
10/29/2020,14:10,NONE,39,Pedestrian,M
10/29/2020,12:50,INJURED,44,Pedestrian,F
10/22/2020,13:40,INJURED,66,Pedestrian,M
10/30/2020,12:20,INJURED,71,Pedestrian,F
10/30/2020,21:18,INJURED,29,Pedestrian,F
10/24/2020,19:24,INJURED,11,Pedestrian,M
10/14/2020,18:34,INJURED,,Pedestrian,F
10/29/2020,23:00,INJURED,28,Pedestrian,M
10/29/2020,23:55,INJURED,40,Pedestrian,F
10/29/2020,20:35,INJURED,63,Pedestrian,M
10/29/2020,18:35,INJURED,35,Pedestrian,F
10/30/2020,6:40,INJURED,47,Pedestrian,M
10/23/2020,19:28,INJURED,21,Pedestrian,F
10/29/2020,8:22,INJURED,62,Pedestrian,F
10/29/2020,18:10,INJURED,37,Pedestrian,M
10/30/2020,19:50,INJURED,23,Pedestrian,F
10/28/2020,17:15,INJURED,69,Pedestrian,M
10/30/2020,19:01,INJURED,36,Pedestrian,F
10/29/2020,21:45,INJURED,29,Pedestrian,F
10/20/2020,17:50,INJURED,27,Pedestrian,F
10/23/2020,21:08,INJURED,74,Pedestrian,F
04/16/2020,12:48,NONE,29,Pedestrian,M
10/29/2020,19:40,INJURED,45,Pedestrian,M
10/30/2020,8:35,INJURED,87,Pedestrian,M
10/27/2020,16:16,INJURED,56,Pedestrian,F
10/30/2020,17:45,NONE,58,Pedestrian,F
10/22/2020,13:40,INJURED,55,Pedestrian,M
10/28/2020,14:45,NONE,28,Pedestrian,M
10/30/2020,7:58,INJURED,55,Pedestrian,M
10/29/2020,17:37,INJURED,50,Pedestrian,M
10/29/2020,6:35,INJURED,55,Pedestrian,F
10/30/2020,20:44,INJURED,66,Pedestrian,M
10/30/2020,15:00,INJURED,78,Pedestrian,M
10/29/2020,15:35,INJURED,53,Pedestrian,M
10/26/2020,18:20,INJURED,67,Pedestrian,F
10/28/2020,17:52,INJURED,58,Pedestrian,M
10/23/2020,15:40,INJURED,32,Pedestrian,F
10/28/2020,16:08,INJURED,28,Pedestrian,F
10/30/2020,18:35,INJURED,65,Pedestrian,F
10/29/2020,19:40,INJURED,41,Pedestrian,M
10/29/2020,14:10,INJURED,11,Pedestrian,M
10/30/2020,9:50,INJURED,22,Pedestrian,F
10/30/2020,6:11,INJURED,48,Pedestrian,M
10/29/2020,7:30,INJURED,57,Pedestrian,M
10/30/2020,5:00,NONE,45,Pedestrian,M
10/29/2020,22:35,INJURED,59,Pedestrian,F
10/23/2020,16:30,INJURED,27,Pedestrian,M
04/16/2020,12:48,NONE,23,Pedestrian,M
10/29/2020,10:40,INJURED,34,Pedestrian,M
10/30/2020,8:29,INJURED,7,Pedestrian,F
10/28/2020,12:24,INJURED,73,Pedestrian,F
10/29/2020,6:00,INJURED,68,Pedestrian,M
10/29/2020,20:00,INJURED,34,Pedestrian,M
10/30/2020,18:56,INJURED,82,Pedestrian,F
10/14/2020,18:34,NONE,,Pedestrian,F
10/28/2020,21:34,INJURED,69,Pedestrian,M
10/29/2020,18:21,INJURED,27,Pedestrian,M
10/23/2020,14:15,INJURED,17,Pedestrian,F
10/30/2020,5:15,INJURED,63,Pedestrian,M
10/29/2020,13:19,INJURED,,Pedestrian,F
11/17/2020,18:40,INJURED,48,Pedestrian,M
11/17/2020,15:35,INJURED,46,Pedestrian,F
11/16/2020,8:56,INJURED,46,Pedestrian,F
11/17/2020,18:58,INJURED,62,Pedestrian,M
11/16/2020,6:05,INJURED,44,Pedestrian,M
11/17/2020,18:15,INJURED,52,Pedestrian,F
11/17/2020,15:20,INJURED,35,Pedestrian,M
11/03/2020,10:38,INJURED,43,Pedestrian,F
11/17/2020,17:40,INJURED,24,Pedestrian,M
11/17/2020,15:55,INJURED,28,Pedestrian,F
11/06/2020,15:30,INJURED,42,Pedestrian,M
11/16/2020,11:00,INJURED,35,Pedestrian,M
11/17/2020,17:06,INJURED,69,Pedestrian,M
11/12/2020,6:05,INJURED,69,Pedestrian,M
11/06/2020,12:40,INJURED,59,Pedestrian,M
11/17/2020,23:30,INJURED,53,Pedestrian,F
11/11/2020,19:25,INJURED,40,Pedestrian,M
11/15/2020,22:15,INJURED,47,Pedestrian,F
11/16/2020,11:15,INJURED,50,Pedestrian,M
11/16/2020,12:07,INJURED,80,Pedestrian,F
11/16/2020,6:00,INJURED,52,Pedestrian,M
11/16/2020,16:03,INJURED,57,Pedestrian,F
11/16/2020,11:46,INJURED,63,Pedestrian,F
11/16/2020,18:10,INJURED,37,Pedestrian,F
11/08/2020,23:30,NONE,32,Pedestrian,M
11/16/2020,18:18,INJURED,28,Pedestrian,M
11/11/2020,19:55,INJURED,18,Pedestrian,M
11/16/2020,10:35,INJURED,49,Pedestrian,F
11/16/2020,16:03,INJURED,35,Pedestrian,M
11/16/2020,21:00,INJURED,51,Pedestrian,M
11/03/2020,5:50,INJURED,52,Pedestrian,F
11/16/2020,15:00,INJURED,33,Pedestrian,M
03/05/2020,19:06,KILLED,66,Pedestrian,M
11/16/2020,16:03,INJURED,49,Pedestrian,F
11/16/2020,17:20,INJURED,46,Pedestrian,M
11/01/2020,12:50,INJURED,21,Pedestrian,F
11/16/2020,0:00,INJURED,24,Pedestrian,F
11/16/2020,14:38,INJURED,10,Pedestrian,M
11/16/2020,16:03,INJURED,,Pedestrian,F
11/16/2020,4:56,KILLED,67,Pedestrian,M
11/16/2020,8:50,INJURED,50,Pedestrian,M
11/07/2020,9:35,INJURED,55,Pedestrian,F
11/15/2020,20:30,INJURED,31,Pedestrian,M
11/10/2020,14:11,INJURED,56,Pedestrian,M
11/13/2020,7:54,INJURED,36,Pedestrian,F
11/14/2020,16:18,NONE,25,Pedestrian,F
11/15/2020,20:30,INJURED,25,Pedestrian,M
11/13/2020,5:27,INJURED,52,Pedestrian,M
11/15/2020,12:10,INJURED,67,Pedestrian,F
10/30/2020,13:54,INJURED,57,Pedestrian,M
11/15/2020,0:15,INJURED,,Pedestrian,M
11/15/2020,16:27,NONE,17,Pedestrian,M
11/03/2020,20:10,NONE,15,Pedestrian,M
11/15/2020,21:57,INJURED,35,Pedestrian,F
11/15/2020,21:50,NONE,32,Pedestrian,F
11/15/2020,2:28,NONE,,Pedestrian,U
11/15/2020,17:28,INJURED,29,Pedestrian,F
10/18/2020,1:10,INJURED,35,Pedestrian,M
11/13/2020,22:30,INJURED,27,Pedestrian,M
11/12/2020,0:00,INJURED,39,Pedestrian,F
11/13/2020,17:19,INJURED,17,Pedestrian,F
11/15/2020,16:30,INJURED,16,Pedestrian,M
11/13/2020,11:36,INJURED,84,Pedestrian,M
11/14/2020,19:25,INJURED,88,Pedestrian,F
10/28/2020,18:18,INJURED,28,Pedestrian,M
11/13/2020,19:57,NONE,54,Pedestrian,F
11/10/2020,12:20,INJURED,4,Pedestrian,F
11/14/2020,17:11,INJURED,59,Pedestrian,M
11/14/2020,21:28,INJURED,32,Pedestrian,F
11/14/2020,0:00,INJURED,,Pedestrian,F
11/14/2020,14:45,INJURED,77,Pedestrian,F
11/13/2020,11:30,INJURED,73,Pedestrian,F
11/14/2020,17:34,INJURED,62,Pedestrian,F
11/14/2020,20:15,INJURED,62,Pedestrian,M
11/09/2020,9:00,INJURED,83,Pedestrian,M
11/14/2020,12:40,NONE,70,Pedestrian,F
11/10/2020,12:20,NONE,27,Pedestrian,F
11/14/2020,21:18,INJURED,43,Pedestrian,M
11/14/2020,10:06,INJURED,57,Pedestrian,F
11/10/2020,13:20,INJURED,44,Pedestrian,F
11/14/2020,17:50,KILLED,58,Pedestrian,F
11/12/2020,8:18,INJURED,83,Pedestrian,F
11/14/2020,17:00,INJURED,52,Pedestrian,F
11/14/2020,0:00,INJURED,44,Pedestrian,M
11/13/2020,10:55,NONE,24,Pedestrian,M
11/14/2020,17:41,INJURED,24,Pedestrian,M
11/14/2020,15:15,INJURED,49,Pedestrian,F
11/13/2020,16:45,INJURED,66,Pedestrian,F
11/14/2020,9:45,INJURED,81,Pedestrian,M
11/12/2020,8:18,INJURED,61,Pedestrian,F
11/13/2020,12:21,KILLED,24,Pedestrian,M
11/12/2020,17:10,INJURED,47,Pedestrian,M
01/25/2020,6:30,KILLED,90,Pedestrian,M
11/11/2020,20:10,INJURED,36,Pedestrian,M
11/13/2020,8:38,INJURED,48,Pedestrian,F
11/12/2020,0:15,INJURED,38,Pedestrian,M
11/11/2020,15:09,NONE,32,Pedestrian,M
11/11/2020,17:25,INJURED,65,Pedestrian,F
11/12/2020,12:45,INJURED,41,Pedestrian,F
11/11/2020,18:35,INJURED,67,Pedestrian,F
11/13/2020,15:00,INJURED,27,Pedestrian,F
11/11/2020,19:40,INJURED,41,Pedestrian,M
11/12/2020,9:20,INJURED,33,Pedestrian,F
11/07/2020,16:30,INJURED,6,Pedestrian,M
11/10/2020,15:30,INJURED,72,Pedestrian,F
11/13/2020,9:40,INJURED,2,Pedestrian,F
11/11/2020,15:21,INJURED,45,Pedestrian,F
11/11/2020,16:18,INJURED,50,Pedestrian,M
11/11/2020,18:30,INJURED,20,Pedestrian,M
11/11/2020,17:50,INJURED,54,Pedestrian,M
11/13/2020,6:55,INJURED,26,Pedestrian,M
11/12/2020,22:55,INJURED,72,Pedestrian,F
11/11/2020,21:30,NONE,34,Pedestrian,M
11/12/2020,16:00,INJURED,41,Pedestrian,F
11/13/2020,18:15,NONE,55,Pedestrian,M
11/11/2020,19:05,INJURED,51,Pedestrian,M
11/11/2020,20:23,INJURED,49,Pedestrian,F
11/12/2020,3:30,INJURED,34,Pedestrian,M
11/12/2020,5:55,INJURED,59,Pedestrian,F
11/13/2020,14:25,INJURED,13,Pedestrian,M
11/11/2020,10:39,INJURED,38,Pedestrian,M
11/12/2020,22:50,INJURED,49,Pedestrian,M
11/13/2020,12:08,NONE,25,Pedestrian,M
11/11/2020,18:15,INJURED,20,Pedestrian,F
11/11/2020,18:19,INJURED,58,Pedestrian,M
11/11/2020,19:15,INJURED,49,Pedestrian,F
11/12/2020,8:25,INJURED,14,Pedestrian,F
11/12/2020,11:27,INJURED,66,Pedestrian,F
11/12/2020,6:29,INJURED,42,Pedestrian,M
10/29/2020,12:20,INJURED,42,Pedestrian,M
10/27/2020,13:23,INJURED,62,Pedestrian,F
10/23/2020,9:30,NONE,30,Pedestrian,M
08/02/2020,13:00,INJURED,28,Pedestrian,M
10/27/2020,15:15,INJURED,22,Pedestrian,F
10/27/2020,17:20,INJURED,11,Pedestrian,M
10/27/2020,14:50,INJURED,59,Pedestrian,F
10/27/2020,12:30,NONE,24,Pedestrian,M
10/27/2020,18:15,INJURED,,Pedestrian,F
10/27/2020,15:48,INJURED,50,Pedestrian,F
10/27/2020,13:05,INJURED,18,Pedestrian,M
10/27/2020,20:32,INJURED,26,Pedestrian,F
10/27/2020,12:26,INJURED,52,Pedestrian,M
10/27/2020,18:20,INJURED,,Pedestrian,F
10/27/2020,12:30,INJURED,11,Pedestrian,M
10/24/2020,12:05,INJURED,,Pedestrian,M
10/27/2020,13:18,INJURED,26,Pedestrian,F
10/08/2020,14:53,INJURED,45,Pedestrian,M
10/26/2020,12:08,INJURED,65,Pedestrian,F
10/26/2020,9:15,INJURED,44,Pedestrian,M
10/26/2020,18:30,INJURED,13,Pedestrian,M
10/26/2020,6:55,INJURED,46,Pedestrian,M
10/24/2020,17:01,INJURED,,Pedestrian,M
10/26/2020,7:06,NONE,26,Pedestrian,F
10/26/2020,5:33,INJURED,49,Pedestrian,M
10/26/2020,20:10,INJURED,,Pedestrian,M
10/23/2020,19:15,INJURED,42,Pedestrian,F
02/23/2020,13:34,KILLED,88,Pedestrian,F
10/25/2020,15:10,INJURED,53,Pedestrian,F
10/20/2020,7:39,NONE,26,Pedestrian,M
10/24/2020,19:05,INJURED,4,Pedestrian,M
10/25/2020,4:58,INJURED,32,Pedestrian,M
10/25/2020,18:14,INJURED,45,Pedestrian,M
10/20/2020,15:01,KILLED,94,Pedestrian,M
10/25/2020,18:38,INJURED,27,Pedestrian,F
10/25/2020,23:37,INJURED,,Pedestrian,M
10/25/2020,23:05,INJURED,53,Pedestrian,F
07/14/2020,13:02,INJURED,26,Pedestrian,F
03/14/2020,18:33,KILLED,32,Pedestrian,F
10/25/2020,10:36,INJURED,83,Pedestrian,M
10/25/2020,22:50,INJURED,35,Pedestrian,M
10/21/2020,16:57,INJURED,35,Pedestrian,F
10/24/2020,21:15,INJURED,19,Pedestrian,M
10/22/2020,14:04,INJURED,74,Pedestrian,M
10/23/2020,7:37,INJURED,32,Pedestrian,M
10/24/2020,14:20,INJURED,46,Pedestrian,M
10/24/2020,20:30,INJURED,37,Pedestrian,F
10/21/2020,10:15,INJURED,33,Pedestrian,M
10/24/2020,18:14,INJURED,30,Pedestrian,M
10/24/2020,4:05,INJURED,20,Pedestrian,M
10/24/2020,12:30,INJURED,6,Pedestrian,M
10/24/2020,15:00,INJURED,14,Pedestrian,M
10/24/2020,11:45,INJURED,10,Pedestrian,M
10/21/2020,12:30,INJURED,22,Pedestrian,F
10/18/2020,10:44,INJURED,59,Pedestrian,F
10/24/2020,10:20,INJURED,83,Pedestrian,F
10/24/2020,17:30,INJURED,58,Pedestrian,F
10/17/2020,23:22,INJURED,36,Pedestrian,M
10/24/2020,15:52,INJURED,22,Pedestrian,F
10/24/2020,19:51,INJURED,39,Pedestrian,M
10/24/2020,13:55,NONE,66,Pedestrian,M
08/25/2020,10:05,INJURED,51,Pedestrian,F
10/23/2020,18:30,INJURED,24,Pedestrian,F
10/23/2020,13:17,INJURED,70,Pedestrian,F
10/09/2020,13:38,NONE,41,Pedestrian,F
10/21/2020,17:40,INJURED,25,Pedestrian,M
10/20/2020,11:20,INJURED,62,Pedestrian,M
